word1,word2,Distance,Layer,similarity,n_params,mpath,revision,step
 old, new,0.831776650717294,0,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.48541979421158776,1,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.310689538496816,2,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.1254676480574065,3,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.00033118003146437314,4,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.00024224828449093128,5,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.0002120583711755497,6,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.0002115615639716184,7,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.0002128561480509994,8,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.0002143709593872556,9,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.00021616017997794224,10,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.00021593807680519994,11,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.00022021061887733673,12,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.00022255667261628087,13,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.0002578449998222876,14,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.0004353678965977048,15,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 old, new,0.5145757871979777,16,1.58,1011781632,EleutherAI/pythia-1b,step143000,143000
 smart, intelligent,0.6527689336441087,0,9.2,1011781632,EleutherAI/pythia-1b,step143000,143000
 smart, intelligent,0.37086921206782,1,9.2,1011781632,EleutherAI/pythia-1b,step143000,143000
 smart, intelligent,0.183423363137158,2,9.2,1011781632,EleutherAI/pythia-1b,step143000,143000
