word1,word2,Distance,Layer,similarity,n_params,mpath,revision,step
 old, new,0.7994470576021296,0,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.3895113066598552,1,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.35627882823380763,2,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.35635608103386207,3,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.002765693492421284,4,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0015933451466378923,5,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0015366084711250227,6,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0014663007085329305,7,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0014767998332063659,8,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0014858702461703066,9,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0014977421406429103,10,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0015473797590039862,11,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0016172772429170479,12,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0016975936833326655,13,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.001753300683345449,14,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0018301683728677576,15,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.001883227041400093,16,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0020015040395470196,17,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.002074239550250989,18,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0022161693184574727,19,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.002300252195027719,20,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.002455012050942673,21,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.00255941173354457,22,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.0034095224179315764,23,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 old, new,0.3627140979296687,24,1.58,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.6473504511814809,0,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.36486014630097796,1,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.1978829105255635,2,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.09302502644404043,3,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0005977686756378775,4,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00034975743076448573,5,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00032037130139173087,6,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0002834493931532789,7,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00027304536011885094,8,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0002595781751805193,9,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0002528916290998051,10,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00024796634563939435,11,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0002449940384021687,12,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00024150002751732735,13,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00023824597022592542,14,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00023718643515402427,15,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00023555575604894408,16,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00023708791489118752,17,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0002358104935160643,18,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.000245392777874609,19,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0002450783607662599,20,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00025947058098219067,21,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.0002681963812840582,22,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.00036951826403441856,23,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 smart, intelligent,0.2928581829717771,24,9.2,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 hard, difficult,0.605202244086914,0,8.77,1414647808,EleutherAI/pythia-1.4b,step143000,143000
 hard, difficult,0.30866038553998376,1,8.77,1414647808,EleutherAI/pythia-1.4b,step143000,143000
