item,object,implicit_sentence,sentence_text,explicit_sentence,explicit_text,match,dataset,last_word,log_prob,model_name,n_params
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,a,The axe was horizontal.,match,muraki2021,horizontal,-14.903624400266457,EleutherAI/pythia-2.8b,2775208960
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,b,The axe was vertical.,mismatch,muraki2021,vertical,-14.43744405908566,EleutherAI/pythia-2.8b,2775208960
2,bat,a,Derek swung his bat as the ball approached.,a,The bat was horizontal.,match,muraki2021,horizontal,-11.513352391534834,EleutherAI/pythia-2.8b,2775208960
2,bat,a,Derek swung his bat as the ball approached.,b,The bat was vertical.,mismatch,muraki2021,vertical,-11.741755025630809,EleutherAI/pythia-2.8b,2775208960
3,book,a,The librarian put the book back on the table.,a,The book was horizontal.,match,muraki2021,horizontal,-16.845356621419143,EleutherAI/pythia-2.8b,2775208960
3,book,a,The librarian put the book back on the table.,b,The book was vertical.,mismatch,muraki2021,vertical,-16.40443723239942,EleutherAI/pythia-2.8b,2775208960
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",a,The bottle was horizontal.,match,muraki2021,horizontal,-16.23816576100993,EleutherAI/pythia-2.8b,2775208960
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",b,The bottle was vertical.,mismatch,muraki2021,vertical,-16.443914753455243,EleutherAI/pythia-2.8b,2775208960
5,bowl,a,James placed the bowl into an open space in the cabinet.,a,The bowl was horizontal.,match,muraki2021,horizontal,-13.195769304655196,EleutherAI/pythia-2.8b,2775208960
5,bowl,a,James placed the bowl into an open space in the cabinet.,b,The bowl was vertical.,mismatch,muraki2021,vertical,-13.700371894077458,EleutherAI/pythia-2.8b,2775208960
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",a,The broom was horizontal.,match,muraki2021,horizontal,-15.745760106510476,EleutherAI/pythia-2.8b,2775208960
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",b,The broom was vertical.,mismatch,muraki2021,vertical,-15.766340245554245,EleutherAI/pythia-2.8b,2775208960
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",a,The brush was horizontal.,match,muraki2021,horizontal,-17.568425373481116,EleutherAI/pythia-2.8b,2775208960
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",b,The brush was vertical.,mismatch,muraki2021,vertical,-17.547128495528042,EleutherAI/pythia-2.8b,2775208960
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,a,The crayon was horizontal.,match,muraki2021,horizontal,-15.355735182287587,EleutherAI/pythia-2.8b,2775208960
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,b,The crayon was vertical.,mismatch,muraki2021,vertical,-15.287182835179243,EleutherAI/pythia-2.8b,2775208960
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,a,The decoration was horizontal.,match,muraki2021,horizontal,-16.646862599392346,EleutherAI/pythia-2.8b,2775208960
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,b,The decoration was vertical.,mismatch,muraki2021,vertical,-18.742051562329685,EleutherAI/pythia-2.8b,2775208960
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,a,The flashlight was horizontal.,match,muraki2021,horizontal,-15.468734681718537,EleutherAI/pythia-2.8b,2775208960
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,b,The flashlight was vertical.,mismatch,muraki2021,vertical,-16.6178305017657,EleutherAI/pythia-2.8b,2775208960
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,a,The fire extinguisher was horizontal.,match,muraki2021,horizontal,-15.947015613042852,EleutherAI/pythia-2.8b,2775208960
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,b,The fire extinguisher was vertical.,mismatch,muraki2021,vertical,-16.726534609698717,EleutherAI/pythia-2.8b,2775208960
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,a,The glass was horizontal.,match,muraki2021,horizontal,-18.897947573310717,EleutherAI/pythia-2.8b,2775208960
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,b,The glass was vertical.,mismatch,muraki2021,vertical,-20.43498406129621,EleutherAI/pythia-2.8b,2775208960
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,a,The guitar was horizontal.,match,muraki2021,horizontal,-16.441325420706693,EleutherAI/pythia-2.8b,2775208960
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,b,The guitar was vertical.,mismatch,muraki2021,vertical,-16.493426552663106,EleutherAI/pythia-2.8b,2775208960
14,gun,a,Annie raised the gun to fire at the target.,a,The gun was horizontal.,match,muraki2021,horizontal,-13.928606544673263,EleutherAI/pythia-2.8b,2775208960
14,gun,a,Annie raised the gun to fire at the target.,b,The gun was vertical.,mismatch,muraki2021,vertical,-13.922646388675243,EleutherAI/pythia-2.8b,2775208960
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",a,The iron was horizontal.,match,muraki2021,horizontal,-16.478633314632464,EleutherAI/pythia-2.8b,2775208960
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",b,The iron was vertical.,mismatch,muraki2021,vertical,-17.320698813813912,EleutherAI/pythia-2.8b,2775208960
16,key,a,The lab assistant put the key to the monkey cage in the lock.,a,The key was horizontal.,match,muraki2021,horizontal,-16.151242977531915,EleutherAI/pythia-2.8b,2775208960
16,key,a,The lab assistant put the key to the monkey cage in the lock.,b,The key was vertical.,mismatch,muraki2021,vertical,-16.71580975350113,EleutherAI/pythia-2.8b,2775208960
17,nail,a,The carpenter hammered the nail into the wall.,a,The nail was horizontal.,match,muraki2021,horizontal,-14.541767379647325,EleutherAI/pythia-2.8b,2775208960
17,nail,a,The carpenter hammered the nail into the wall.,b,The nail was vertical.,mismatch,muraki2021,vertical,-13.612088384665354,EleutherAI/pythia-2.8b,2775208960
18,pen,a,The accountant stuck his pen behind his ear.,a,The pen was horizontal.,match,muraki2021,horizontal,-13.162397761829329,EleutherAI/pythia-2.8b,2775208960
18,pen,a,The accountant stuck his pen behind his ear.,b,The pen was vertical.,mismatch,muraki2021,vertical,-12.79957908140038,EleutherAI/pythia-2.8b,2775208960
19,pencil,a,Rick hurriedly stuck his pencil in the desk drawer.,a,The pencil was horizontal.,match,muraki2021,horizontal,-16.629519843535537,EleutherAI/pythia-2.8b,2775208960
19,pencil,a,Rick hurriedly stuck his pencil in the desk drawer.,b,The pencil was vertical.,mismatch,muraki2021,vertical,-17.28243338856293,EleutherAI/pythia-2.8b,2775208960
20,plate,a,Sara situated the expensive plate on its mat on the table.,a,The plate was horizontal.,match,muraki2021,horizontal,-14.888971496663954,EleutherAI/pythia-2.8b,2775208960
20,plate,a,Sara situated the expensive plate on its mat on the table.,b,The plate was vertical.,mismatch,muraki2021,vertical,-15.775943844567433,EleutherAI/pythia-2.8b,2775208960
21,salt shaker,a,The anxious little boy knocked the salt shaker over onto the table.,a,The salt shaker was horizontal.,match,muraki2021,horizontal,-16.864129014626815,EleutherAI/pythia-2.8b,2775208960
21,salt shaker,a,The anxious little boy knocked the salt shaker over onto the table.,b,The salt shaker was vertical.,mismatch,muraki2021,vertical,-19.018074009947142,EleutherAI/pythia-2.8b,2775208960
22,pair of scissors,a,Becca used the scissors to carve her initials into the tree.,a,The pair of scissors was horizontal.,match,muraki2021,horizontal,-17.248705520097904,EleutherAI/pythia-2.8b,2775208960
22,pair of scissors,a,Becca used the scissors to carve her initials into the tree.,b,The pair of scissors was vertical.,mismatch,muraki2021,vertical,-17.3783735449912,EleutherAI/pythia-2.8b,2775208960
23,screw,a,Jim prepared to insert the screw into the side of the cabinet.,a,The screw was horizontal.,match,muraki2021,horizontal,-13.579492827205792,EleutherAI/pythia-2.8b,2775208960
23,screw,a,Jim prepared to insert the screw into the side of the cabinet.,b,The screw was vertical.,mismatch,muraki2021,vertical,-12.815748137298518,EleutherAI/pythia-2.8b,2775208960
24,wheel,a,The young husband prepared to place the spare tire into the trunk.,a,The wheel was horizontal.,match,muraki2021,horizontal,-12.720246894293592,EleutherAI/pythia-2.8b,2775208960
24,wheel,a,The young husband prepared to place the spare tire into the trunk.,b,The wheel was vertical.,mismatch,muraki2021,vertical,-13.17022230408547,EleutherAI/pythia-2.8b,2775208960
1,axe,b,The lumberjack left his axe sticking in the side of the stump after winning the axe toss.,a,The axe was horizontal.,mismatch,muraki2021,horizontal,-15.435086598604258,EleutherAI/pythia-2.8b,2775208960
1,axe,b,The lumberjack left his axe sticking in the side of the stump after winning the axe toss.,b,The axe was vertical.,match,muraki2021,vertical,-14.863128697903038,EleutherAI/pythia-2.8b,2775208960
2,bat,b,Derek held his bat high as the ball approached.,a,The bat was horizontal.,mismatch,muraki2021,horizontal,-11.135663356970731,EleutherAI/pythia-2.8b,2775208960
2,bat,b,Derek held his bat high as the ball approached.,b,The bat was vertical.,match,muraki2021,vertical,-10.323478792635626,EleutherAI/pythia-2.8b,2775208960
3,book,b,The librarian put the book back on the shelf.,a,The book was horizontal.,mismatch,muraki2021,horizontal,-17.74233420616511,EleutherAI/pythia-2.8b,2775208960
3,book,b,The librarian put the book back on the shelf.,b,The book was vertical.,match,muraki2021,vertical,-17.2176785049169,EleutherAI/pythia-2.8b,2775208960
4,bottle,b,"Jessica stuck the bottle in the ice, anticipating a romantic evening.",a,The bottle was horizontal.,mismatch,muraki2021,horizontal,-16.985448231075036,EleutherAI/pythia-2.8b,2775208960
4,bottle,b,"Jessica stuck the bottle in the ice, anticipating a romantic evening.",b,The bottle was vertical.,match,muraki2021,vertical,-17.358270918018768,EleutherAI/pythia-2.8b,2775208960
5,bowl,b,James placed the bowl into an open slot in the dishwasher.,a,The bowl was horizontal.,mismatch,muraki2021,horizontal,-12.618329922365772,EleutherAI/pythia-2.8b,2775208960
5,bowl,b,James placed the bowl into an open slot in the dishwasher.,b,The bowl was vertical.,match,muraki2021,vertical,-13.042132330153056,EleutherAI/pythia-2.8b,2775208960
6,broom,b,"Janie grabbed the broom and swept the house, pretending she was Cinderella.",a,The broom was horizontal.,mismatch,muraki2021,horizontal,-14.700559702527123,EleutherAI/pythia-2.8b,2775208960
6,broom,b,"Janie grabbed the broom and swept the house, pretending she was Cinderella.",b,The broom was vertical.,match,muraki2021,vertical,-15.010315592760696,EleutherAI/pythia-2.8b,2775208960
7,brush,b,"The teenager held her brush up like a microphone, pretending to be a famous rock star.",a,The brush was horizontal.,mismatch,muraki2021,horizontal,-13.338181897494835,EleutherAI/pythia-2.8b,2775208960
