item,object,implicit_sentence,sentence_text,explicit_sentence,explicit_text,match,dataset,log_prob,model_name,n_params
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,a,The axe was horizontal.,match,muraki2021,-3.9764930248260497,EleutherAI/pythia-2.8b,2775208960
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,b,The axe was vertical.,mismatch,muraki2021,-3.926759672164917,EleutherAI/pythia-2.8b,2775208960
2,bat,a,Derek swung his bat as the ball approached.,a,The bat was horizontal.,match,muraki2021,-3.7403034210205077,EleutherAI/pythia-2.8b,2775208960
2,bat,a,Derek swung his bat as the ball approached.,b,The bat was vertical.,mismatch,muraki2021,-3.8008325576782225,EleutherAI/pythia-2.8b,2775208960
3,book,a,The librarian put the book back on the table.,a,The book was horizontal.,match,muraki2021,-4.458507680892945,EleutherAI/pythia-2.8b,2775208960
3,book,a,The librarian put the book back on the table.,b,The book was vertical.,mismatch,muraki2021,-4.4018724918365475,EleutherAI/pythia-2.8b,2775208960
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",a,The bottle was horizontal.,match,muraki2021,-4.101866602897644,EleutherAI/pythia-2.8b,2775208960
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",b,The bottle was vertical.,mismatch,muraki2021,-4.141802430152893,EleutherAI/pythia-2.8b,2775208960
5,bowl,a,James placed the bowl into an open space in the cabinet.,a,The bowl was horizontal.,match,muraki2021,-3.6097579479217528,EleutherAI/pythia-2.8b,2775208960
5,bowl,a,James placed the bowl into an open space in the cabinet.,b,The bowl was vertical.,mismatch,muraki2021,-3.6795569896697997,EleutherAI/pythia-2.8b,2775208960
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",a,The broom was horizontal.,match,muraki2021,-3.6014342417474836,EleutherAI/pythia-2.8b,2775208960
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",b,The broom was vertical.,mismatch,muraki2021,-3.6377847304102033,EleutherAI/pythia-2.8b,2775208960
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",a,The brush was horizontal.,match,muraki2021,-5.747527599334717,EleutherAI/pythia-2.8b,2775208960
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",b,The brush was vertical.,mismatch,muraki2021,-5.7732175350189205,EleutherAI/pythia-2.8b,2775208960
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,a,The crayon was horizontal.,match,muraki2021,-3.127112228689449,EleutherAI/pythia-2.8b,2775208960
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,b,The crayon was vertical.,mismatch,muraki2021,-3.1306505647620986,EleutherAI/pythia-2.8b,2775208960
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,a,The decoration was horizontal.,match,muraki2021,-4.755401945114135,EleutherAI/pythia-2.8b,2775208960
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,b,The decoration was vertical.,mismatch,muraki2021,-5.10205340385437,EleutherAI/pythia-2.8b,2775208960
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,a,The flashlight was horizontal.,match,muraki2021,-3.8793892984588942,EleutherAI/pythia-2.8b,2775208960
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,b,The flashlight was vertical.,mismatch,muraki2021,-4.043808989226818,EleutherAI/pythia-2.8b,2775208960
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,a,The fire extinguisher was horizontal.,match,muraki2021,-2.799879484111443,EleutherAI/pythia-2.8b,2775208960
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,b,The fire extinguisher was vertical.,mismatch,muraki2021,-2.90360688441433,EleutherAI/pythia-2.8b,2775208960
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,a,The glass was horizontal.,match,muraki2021,-5.015575838088989,EleutherAI/pythia-2.8b,2775208960
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,b,The glass was vertical.,mismatch,muraki2021,-5.2384179592132565,EleutherAI/pythia-2.8b,2775208960
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,a,The guitar was horizontal.,match,muraki2021,-4.902421760559082,EleutherAI/pythia-2.8b,2775208960
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,b,The guitar was vertical.,mismatch,muraki2021,-4.877703666687012,EleutherAI/pythia-2.8b,2775208960
14,gun,a,Annie raised the gun to fire at the target.,a,The gun was horizontal.,match,muraki2021,-3.694674515724182,EleutherAI/pythia-2.8b,2775208960
14,gun,a,Annie raised the gun to fire at the target.,b,The gun was vertical.,mismatch,muraki2021,-3.7298833608627318,EleutherAI/pythia-2.8b,2775208960
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",a,The iron was horizontal.,match,muraki2021,-4.646500205993652,EleutherAI/pythia-2.8b,2775208960
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",b,The iron was vertical.,mismatch,muraki2021,-4.766110801696778,EleutherAI/pythia-2.8b,2775208960
16,key,a,The lab assistant put the key to the monkey cage in the lock.,a,The key was horizontal.,match,muraki2021,-4.388030195236206,EleutherAI/pythia-2.8b,2775208960
16,key,a,The lab assistant put the key to the monkey cage in the lock.,b,The key was vertical.,mismatch,muraki2021,-4.523816442489624,EleutherAI/pythia-2.8b,2775208960
17,nail,a,The carpenter hammered the nail into the wall.,a,The nail was horizontal.,match,muraki2021,-3.8017976760864256,EleutherAI/pythia-2.8b,2775208960
17,nail,a,The carpenter hammered the nail into the wall.,b,The nail was vertical.,mismatch,muraki2021,-3.6537362575531005,EleutherAI/pythia-2.8b,2775208960
18,pen,a,The accountant stuck his pen behind his ear.,a,The pen was horizontal.,match,muraki2021,-4.5460511445999146,EleutherAI/pythia-2.8b,2775208960
18,pen,a,The accountant stuck his pen behind his ear.,b,The pen was vertical.,mismatch,muraki2021,-4.497026371955871,EleutherAI/pythia-2.8b,2775208960
19,pencil,a,Rick hurriedly stuck his pencil in the desk drawer.,a,The pencil was horizontal.,match,muraki2021,-4.329026389122009,EleutherAI/pythia-2.8b,2775208960
19,pencil,a,Rick hurriedly stuck his pencil in the desk drawer.,b,The pencil was vertical.,mismatch,muraki2021,-4.4259398698806764,EleutherAI/pythia-2.8b,2775208960
20,plate,a,Sara situated the expensive plate on its mat on the table.,a,The plate was horizontal.,match,muraki2021,-3.712648093700409,EleutherAI/pythia-2.8b,2775208960
20,plate,a,Sara situated the expensive plate on its mat on the table.,b,The plate was vertical.,mismatch,muraki2021,-3.8760505080223084,EleutherAI/pythia-2.8b,2775208960
21,salt shaker,a,The anxious little boy knocked the salt shaker over onto the table.,a,The salt shaker was horizontal.,match,muraki2021,-3.376634524336883,EleutherAI/pythia-2.8b,2775208960
21,salt shaker,a,The anxious little boy knocked the salt shaker over onto the table.,b,The salt shaker was vertical.,mismatch,muraki2021,-3.625313770558153,EleutherAI/pythia-2.8b,2775208960
22,pair of scissors,a,Becca used the scissors to carve her initials into the tree.,a,The pair of scissors was horizontal.,match,muraki2021,-4.142503845971078,EleutherAI/pythia-2.8b,2775208960
22,pair of scissors,a,Becca used the scissors to carve her initials into the tree.,b,The pair of scissors was vertical.,mismatch,muraki2021,-4.186566698830575,EleutherAI/pythia-2.8b,2775208960
23,screw,a,Jim prepared to insert the screw into the side of the cabinet.,a,The screw was horizontal.,match,muraki2021,-3.656130886077881,EleutherAI/pythia-2.8b,2775208960
23,screw,a,Jim prepared to insert the screw into the side of the cabinet.,b,The screw was vertical.,mismatch,muraki2021,-3.5518178939819336,EleutherAI/pythia-2.8b,2775208960
24,wheel,a,The young husband prepared to place the spare tire into the trunk.,a,The wheel was horizontal.,match,muraki2021,-4.249550247192383,EleutherAI/pythia-2.8b,2775208960
24,wheel,a,The young husband prepared to place the spare tire into the trunk.,b,The wheel was vertical.,mismatch,muraki2021,-4.33625226020813,EleutherAI/pythia-2.8b,2775208960
1,axe,b,The lumberjack left his axe sticking in the side of the stump after winning the axe toss.,a,The axe was horizontal.,mismatch,muraki2021,-4.077760934829712,EleutherAI/pythia-2.8b,2775208960
1,axe,b,The lumberjack left his axe sticking in the side of the stump after winning the axe toss.,b,The axe was vertical.,match,muraki2021,-4.015860748291016,EleutherAI/pythia-2.8b,2775208960
2,bat,b,Derek held his bat high as the ball approached.,a,The bat was horizontal.,mismatch,muraki2021,-3.806552791595459,EleutherAI/pythia-2.8b,2775208960
2,bat,b,Derek held his bat high as the ball approached.,b,The bat was vertical.,match,muraki2021,-3.697757625579834,EleutherAI/pythia-2.8b,2775208960
3,book,b,The librarian put the book back on the shelf.,a,The book was horizontal.,mismatch,muraki2021,-4.510837078094482,EleutherAI/pythia-2.8b,2775208960
3,book,b,The librarian put the book back on the shelf.,b,The book was vertical.,match,muraki2021,-4.451844644546509,EleutherAI/pythia-2.8b,2775208960
4,bottle,b,"Jessica stuck the bottle in the ice, anticipating a romantic evening.",a,The bottle was horizontal.,mismatch,muraki2021,-4.233044862747192,EleutherAI/pythia-2.8b,2775208960
4,bottle,b,"Jessica stuck the bottle in the ice, anticipating a romantic evening.",b,The bottle was vertical.,match,muraki2021,-4.2870313167572025,EleutherAI/pythia-2.8b,2775208960
