item,object,implicit_sentence,sentence_text,explicit_sentence,explicit_text,match,dataset,log_prob,model_name,n_params
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,a,The axe was horizontal.,match,muraki2021,-3.867480993270874,EleutherAI/pythia-1b,1011781632
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,b,The axe was vertical.,mismatch,muraki2021,-3.99636287689209,EleutherAI/pythia-1b,1011781632
2,bat,a,Derek swung his bat as the ball approached.,a,The bat was horizontal.,match,muraki2021,-3.8415692806243897,EleutherAI/pythia-1b,1011781632
2,bat,a,Derek swung his bat as the ball approached.,b,The bat was vertical.,mismatch,muraki2021,-3.808573341369629,EleutherAI/pythia-1b,1011781632
3,book,a,The librarian put the book back on the table.,a,The book was horizontal.,match,muraki2021,-3.9821733474731444,EleutherAI/pythia-1b,1011781632
3,book,a,The librarian put the book back on the table.,b,The book was vertical.,mismatch,muraki2021,-3.9277812480926513,EleutherAI/pythia-1b,1011781632
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",a,The bottle was horizontal.,match,muraki2021,-4.132297563552856,EleutherAI/pythia-1b,1011781632
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",b,The bottle was vertical.,mismatch,muraki2021,-3.916656494140625,EleutherAI/pythia-1b,1011781632
5,bowl,a,James placed the bowl into an open space in the cabinet.,a,The bowl was horizontal.,match,muraki2021,-3.4587909460067747,EleutherAI/pythia-1b,1011781632
5,bowl,a,James placed the bowl into an open space in the cabinet.,b,The bowl was vertical.,mismatch,muraki2021,-3.372807335853577,EleutherAI/pythia-1b,1011781632
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",a,The broom was horizontal.,match,muraki2021,-3.5765190138481557,EleutherAI/pythia-1b,1011781632
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",b,The broom was vertical.,mismatch,muraki2021,-3.673770548310131,EleutherAI/pythia-1b,1011781632
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",a,The brush was horizontal.,match,muraki2021,-4.6613377094268795,EleutherAI/pythia-1b,1011781632
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",b,The brush was vertical.,mismatch,muraki2021,-4.643761444091797,EleutherAI/pythia-1b,1011781632
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,a,The crayon was horizontal.,match,muraki2021,-3.255234999049987,EleutherAI/pythia-1b,1011781632
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,b,The crayon was vertical.,mismatch,muraki2021,-3.279341603762337,EleutherAI/pythia-1b,1011781632
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,a,The decoration was horizontal.,match,muraki2021,-4.563548922538757,EleutherAI/pythia-1b,1011781632
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,b,The decoration was vertical.,mismatch,muraki2021,-4.676041483879089,EleutherAI/pythia-1b,1011781632
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,a,The flashlight was horizontal.,match,muraki2021,-3.815995713075002,EleutherAI/pythia-1b,1011781632
