sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,1.1567811264434624e-08,0,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.10873426012270082,1,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.13963764282199265,2,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.17726039066548216,3,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.1460815915094018,4,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.20318711665872258,5,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0019257828106029606,6,2.181818182,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,1.1567811264434624e-08,0,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.11073738679233003,1,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.14501275288044269,2,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.15975742877862043,3,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.15736557239707205,4,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.2333620303006,5,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.002205963011566392,6,2.0,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,1.1567811264434624e-08,0,2.818181818,7,6,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.09477463916982931,1,2.818181818,7,6,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.10743022230496424,2,2.818181818,7,6,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.1487519248732918,3,2.818181818,7,6,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.07740195219915591,4,2.818181818,7,6,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.18387884037836144,5,2.818181818,7,6,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0013706702027966866,6,2.818181818,7,6,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,1.1567811264434624e-08,0,2.80952381,7,7,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.10760335869518989,1,2.80952381,7,7,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.1235849231389563,2,2.80952381,7,7,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.13243155913218707,3,2.80952381,7,7,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.09613281677872276,4,2.80952381,7,7,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.23348391835393356,5,2.80952381,7,7,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0020066422138238504,6,2.80952381,7,7,0,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a humane act.,act,act,Same Sense,1.1567811264434624e-08,0,3.9,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.057119620275078,1,3.9,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.08967638222537255,2,3.9,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.11930158473973251,3,3.9,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0768133368912216,4,3.9,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.07612129049730787,5,3.9,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a desperate act.,It was a humane act.,act,act,Same Sense,0.0013884248263448251,6,3.9,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a magic act.,It was a comedic act.,act,act,Same Sense,1.1567811264434624e-08,0,3.764705882,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.12598170623420246,1,3.764705882,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.12015078752124897,2,3.764705882,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.14229280889281892,3,3.764705882,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.06232683259286709,4,3.764705882,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.06549793962218686,5,3.764705882,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
It was a magic act.,It was a comedic act.,act,act,Same Sense,0.0012046548049524652,6,3.764705882,6,7,1,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0,0,1.571428571,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.07986379825977274,1,1.571428571,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.11225761933402412,2,1.571428571,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.13896344580525855,3,1.571428571,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0810263605301591,4,1.571428571,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.10639554005880458,5,1.571428571,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.002453818183850709,6,1.571428571,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0,0,1.0,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0823767870500699,1,1.0,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.132382679756344,2,1.0,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.16905731662634416,3,1.0,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.1069382932754277,4,1.0,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.1418703739742162,5,1.0,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.003319522457711388,6,1.0,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0,0,1.235294118,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.07523280923738529,1,1.235294118,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.08608862688415442,2,1.235294118,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.18637146201228305,3,1.235294118,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.07761327661865147,4,1.235294118,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.10075364929993147,5,1.235294118,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a legal appeal.,appeal,appeal,Different Sense,0.0022078998536178007,6,1.235294118,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0,0,0.714285714,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.06180849146320011,1,0.714285714,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.08967762816387082,2,0.714285714,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.15678099439544957,3,0.714285714,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.09019732683091608,4,0.714285714,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.1366688033943294,5,0.714285714,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had an undefinable appeal.,He had a pending appeal.,appeal,appeal,Different Sense,0.0029039615521122553,6,0.714285714,8,6,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.0,0,3.7,6,8,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.04787969182812746,1,3.7,6,8,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.06325808475675498,2,3.7,6,8,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.0964915412115781,3,3.7,6,8,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.04853122139652466,4,3.7,6,8,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.052858987264622126,5,3.7,6,8,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a universal appeal.,He had an undefinable appeal.,appeal,appeal,Same Sense,0.0007814527408920302,6,3.7,6,8,2,70426624,EleutherAI/pythia-70m,step143000,143000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.0,0,3.272727273,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.06337662012995793,1,3.272727273,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.10062697776494156,2,3.272727273,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.14841417822281733,3,3.272727273,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.060646980098220005,4,3.272727273,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.06923496317997246,5,3.272727273,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
He had a legal appeal.,He had a pending appeal.,appeal,appeal,Same Sense,0.0019234050650778212,6,3.272727273,6,6,0,70426624,EleutherAI/pythia-70m,step143000,143000
