item,object,implicit_sentence,sentence_text,explicit_sentence,explicit_text,match,dataset,last_word,log_prob,model,checkpoint,n_params
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,a,The axe was horizontal.,match,muraki2021,horizontal,-16.496105250759932,EleutherAI/pythia-12b,1000,11846072320
1,axe,a,The lumberjack left his axe sticking in the top of the stump after winning the axe toss.,b,The axe was vertical.,mismatch,muraki2021,vertical,-14.693603378327852,EleutherAI/pythia-12b,1000,11846072320
2,bat,a,Derek swung his bat as the ball approached.,a,The bat was horizontal.,match,muraki2021,horizontal,-17.18451057284356,EleutherAI/pythia-12b,1000,11846072320
2,bat,a,Derek swung his bat as the ball approached.,b,The bat was vertical.,mismatch,muraki2021,vertical,-15.977507391174221,EleutherAI/pythia-12b,1000,11846072320
3,book,a,The librarian put the book back on the table.,a,The book was horizontal.,match,muraki2021,horizontal,-18.853002260174527,EleutherAI/pythia-12b,1000,11846072320
3,book,a,The librarian put the book back on the table.,b,The book was vertical.,mismatch,muraki2021,vertical,-17.414133497786192,EleutherAI/pythia-12b,1000,11846072320
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",a,The bottle was horizontal.,match,muraki2021,horizontal,-17.6950609283262,EleutherAI/pythia-12b,1000,11846072320
4,bottle,a,"Jessica stuck the bottle in the wine rack, anticipating a romantic evening.",b,The bottle was vertical.,mismatch,muraki2021,vertical,-15.756819332490728,EleutherAI/pythia-12b,1000,11846072320
5,bowl,a,James placed the bowl into an open space in the cabinet.,a,The bowl was horizontal.,match,muraki2021,horizontal,-14.960769503326864,EleutherAI/pythia-12b,1000,11846072320
5,bowl,a,James placed the bowl into an open space in the cabinet.,b,The bowl was vertical.,mismatch,muraki2021,vertical,-13.809115851771956,EleutherAI/pythia-12b,1000,11846072320
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",a,The broom was horizontal.,match,muraki2021,horizontal,-19.136714528349547,EleutherAI/pythia-12b,1000,11846072320
6,broom,a,"Janie grabbed the broom and rode it around the house, pretending it was her horse.",b,The broom was vertical.,mismatch,muraki2021,vertical,-17.491739033345656,EleutherAI/pythia-12b,1000,11846072320
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",a,The brush was horizontal.,match,muraki2021,horizontal,-16.27548187943978,EleutherAI/pythia-12b,1000,11846072320
7,brush,a,"The teenager placed her brush in the bottom of her bag, looking forward to the party.",b,The brush was vertical.,mismatch,muraki2021,vertical,-15.248517029164903,EleutherAI/pythia-12b,1000,11846072320
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,a,The crayon was horizontal.,match,muraki2021,horizontal,-18.00234172343186,EleutherAI/pythia-12b,1000,11846072320
8,crayon,a,The toddler drew a kitty cat with his crayon on his bedroom door.,b,The crayon was vertical.,mismatch,muraki2021,vertical,-16.25198757229243,EleutherAI/pythia-12b,1000,11846072320
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,a,The decoration was horizontal.,match,muraki2021,horizontal,-13.655476115078828,EleutherAI/pythia-12b,1000,11846072320
9,decoration,a,Laura threw the decoration in the drawer with the clothespin.,b,The decoration was vertical.,mismatch,muraki2021,vertical,-12.665215117194846,EleutherAI/pythia-12b,1000,11846072320
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,a,The flashlight was horizontal.,match,muraki2021,horizontal,-15.80067632367565,EleutherAI/pythia-12b,1000,11846072320
10,flashlight,a,The hunter shone the flashlight into the mouth of the cavern.,b,The flashlight was vertical.,mismatch,muraki2021,vertical,-14.778756732905775,EleutherAI/pythia-12b,1000,11846072320
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,a,The fire extinguisher was horizontal.,match,muraki2021,horizontal,-18.523235876183055,EleutherAI/pythia-12b,1000,11846072320
11,fire extinguisher,a,The race car driver fastened the fire-extinguisher under his seat.,b,The fire extinguisher was vertical.,mismatch,muraki2021,vertical,-16.64476425366827,EleutherAI/pythia-12b,1000,11846072320
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,a,The glass was horizontal.,match,muraki2021,horizontal,-15.82141188586469,EleutherAI/pythia-12b,1000,11846072320
12,glass,a,The waiter knocked over the wineglass while admiring Maureen's gown.,b,The glass was vertical.,mismatch,muraki2021,vertical,-14.723386545650948,EleutherAI/pythia-12b,1000,11846072320
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,a,The guitar was horizontal.,match,muraki2021,horizontal,-16.857212507259728,EleutherAI/pythia-12b,1000,11846072320
13,guitar,a,Mick strummed his guitar as he warmed up for the concert.,b,The guitar was vertical.,mismatch,muraki2021,vertical,-15.610093395788699,EleutherAI/pythia-12b,1000,11846072320
14,gun,a,Annie raised the gun to fire at the target.,a,The gun was horizontal.,match,muraki2021,horizontal,-17.98053974841907,EleutherAI/pythia-12b,1000,11846072320
14,gun,a,Annie raised the gun to fire at the target.,b,The gun was vertical.,mismatch,muraki2021,vertical,-16.167659759195196,EleutherAI/pythia-12b,1000,11846072320
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",a,The iron was horizontal.,match,muraki2021,horizontal,-15.992908725558317,EleutherAI/pythia-12b,1000,11846072320
15,iron,a,"Frank pressed the iron onto his pants, hoping he wouldn't be late.",b,The iron was vertical.,mismatch,muraki2021,vertical,-14.478264548747415,EleutherAI/pythia-12b,1000,11846072320
16,key,a,The lab assistant put the key to the monkey cage in the lock.,a,The key was horizontal.,match,muraki2021,horizontal,-18.96699515281893,EleutherAI/pythia-12b,1000,11846072320
16,key,a,The lab assistant put the key to the monkey cage in the lock.,b,The key was vertical.,mismatch,muraki2021,vertical,-17.71766504706352,EleutherAI/pythia-12b,1000,11846072320
17,nail,a,The carpenter hammered the nail into the wall.,a,The nail was horizontal.,match,muraki2021,horizontal,-16.08434989261071,EleutherAI/pythia-12b,1000,11846072320
17,nail,a,The carpenter hammered the nail into the wall.,b,The nail was vertical.,mismatch,muraki2021,vertical,-14.63122859817922,EleutherAI/pythia-12b,1000,11846072320
18,pen,a,The accountant stuck his pen behind his ear.,a,The pen was horizontal.,match,muraki2021,horizontal,-17.144430294142346,EleutherAI/pythia-12b,1000,11846072320
18,pen,a,The accountant stuck his pen behind his ear.,b,The pen was vertical.,mismatch,muraki2021,vertical,-15.74323126580547,EleutherAI/pythia-12b,1000,11846072320
19,pencil,a,Rick hurriedly stuck his pencil in the desk drawer.,a,The pencil was horizontal.,match,muraki2021,horizontal,-14.697286478793936,EleutherAI/pythia-12b,1000,11846072320
